timestamp,accuracy,f1_score,recall,precision,kappa,confusion_matrix,threshold_used,native_language,education_level,age_group,english_level,job_category,reading_domain
2025-08-05 01:37:39,"(0.76, 0.76)","(0.7391304347826086, 0.7551020408163265)","(0.68, 0.74)","(0.8095238095238095, 0.7708333333333334)","(0.52, 0.52)","('[[42  8]\n [16 34]]', '[[39 11]\n [13 37]]')",0.5,Arabic,Ph.D.,"(18, 25)",Intermediate,Creative & Communication,Businness News
2025-08-05 01:45:46,"(0.69, 0.83)","(0.6075949367088608, 0.8316831683168316)","(0.48, 0.84)","(0.8275862068965517, 0.8235294117647058)","(0.38, 0.6599999999999999)","('[[45  5]\n [26 24]]', '[[41  9]\n [ 8 42]]')",0.5,Mandarin,Masters,"(25, 30)",Intermediate,Creative & Communication,Non Fiction
2025-08-05 01:53:52,"(0.76, 0.78)","(0.7073170731707317, 0.78)","(0.5918367346938775, 0.7959183673469388)","(0.8787878787878788, 0.7647058823529411)","(0.5167136528393073, 0.5601759296281488)","('[[47  4]\n [20 29]]', '[[39 12]\n [10 39]]')",0.49,Turkish,Ph.D.,"(25, 30)",Intermediate,Business & Office Work,Academic papers
2025-08-05 02:01:56,"(0.71, 0.73)","(0.5915492957746479, 0.6666666666666666)","(0.44680851063829785, 0.574468085106383)","(0.875, 0.7941176470588235)","(0.4013212221304706, 0.44942903752039154)","('[[50  3]\n [26 21]]', '[[46  7]\n [20 27]]')",0.47,Mandarin,Ph.D.,"(30, 40)",Advanced,Creative & Communication,Businness News
2025-08-05 02:10:10,"(0.75, 0.77)","(0.7368421052631579, 0.735632183908046)","(0.6862745098039216, 0.6274509803921569)","(0.7954545454545454, 0.8888888888888888)","(0.5011971268954509, 0.5425616547334924)","('[[40  9]\n [16 35]]', '[[45  4]\n [19 32]]')",0.51,Arabic,Masters,"(30, 40)",Beginner,Healthcare,Academic papers
2025-08-05 02:18:27,"(0.79, 0.78)","(0.7789473684210526, 0.7608695652173914)","(0.7115384615384616, 0.6730769230769231)","(0.8604651162790697, 0.875)","(0.5823389021479713, 0.5634920634920635)","('[[42  6]\n [15 37]]', '[[43  5]\n [17 35]]')",0.52,Mandarin,High School,"(18, 25)",Beginner,Service & Hospitality,Fiction
2025-08-05 02:27:03,"(0.69, 0.73)","(0.5866666666666667, 0.7378640776699029)","(0.4888888888888889, 0.8444444444444444)","(0.7333333333333333, 0.6551724137931034)","(0.35416666666666663, 0.46850393700787396)","('[[47  8]\n [23 22]]', '[[35 20]\n [ 7 38]]')",0.45,Mandarin,Ph.D.,"(18, 25)",Advanced,Creative & Communication,Academic papers
2025-08-05 02:35:34,"(0.55, 0.77)","(0.21052631578947367, 0.7964601769911505)","(0.12, 0.9)","(0.8571428571428571, 0.7142857142857143)","(0.09999999999999998, 0.54)","('[[49  1]\n [44  6]]', '[[32 18]\n [ 5 45]]')",0.5,Italian,Bachelors,"(18, 25)",Advanced,Creative & Communication,Businness News
2025-08-05 02:44:12,"(0.86, 0.82)","(0.851063829787234, 0.8301886792452831)","(0.8, 0.88)","(0.9090909090909091, 0.7857142857142857)","(0.72, 0.64)","('[[46  4]\n [10 40]]', '[[38 12]\n [ 6 44]]')",0.5,Arabic,Masters,"(18, 25)",Beginner,Healthcare,Academic papers
2025-08-05 02:52:11,"(0.76, 0.8)","(0.7391304347826086, 0.8181818181818182)","(0.6938775510204082, 0.9183673469387755)","(0.7906976744186046, 0.7377049180327869)","(0.5186522262334536, 0.6017522899243329)","('[[42  9]\n [15 34]]', '[[35 16]\n [ 4 45]]')",0.49,French,Ph.D.,"(18, 25)",Beginner,Skilled Trades & Vocational,Academic papers
2025-08-05 03:00:11,"(0.73, 0.73)","(0.7032967032967034, 0.6896551724137931)","(0.64, 0.6)","(0.7804878048780488, 0.8108108108108109)","(0.45999999999999996, 0.45999999999999996)","('[[41  9]\n [18 32]]', '[[43  7]\n [20 30]]')",0.5,Mandarin,High School,"(30, 40)",Intermediate,Education & Research,Fiction
2025-08-05 03:08:28,"(0.75, 0.8)","(0.7191011235955056, 0.7916666666666666)","(0.64, 0.76)","(0.8205128205128205, 0.8260869565217391)","(0.5, 0.6)","('[[43  7]\n [18 32]]', '[[42  8]\n [12 38]]')",0.5,Arabic,Bachelors,"(30, 40)",Beginner,Technology & Engineering,Fiction
2025-08-05 03:16:51,"(0.68, 0.76)","(0.5789473684210527, 0.7333333333333333)","(0.4489795918367347, 0.673469387755102)","(0.8148148148148148, 0.8048780487804879)","(0.3540573274121922, 0.5182657567242072)","('[[46  5]\n [27 22]]', '[[43  8]\n [16 33]]')",0.49,Arabic,Masters,"(30, 40)",Advanced,Healthcare,Academic papers
2025-08-05 03:24:59,"(0.8, 0.74)","(0.8076923076923077, 0.675)","(0.84, 0.54)","(0.7777777777777778, 0.9)","(0.6, 0.48)","('[[38 12]\n [ 8 42]]', '[[47  3]\n [23 27]]')",0.5,Turkish,Bachelors,"(30, 40)",Beginner,Government & Legal,Social Media
2025-08-05 03:33:31,"(0.68, 0.72)","(0.6097560975609756, 0.6818181818181818)","(0.5102040816326531, 0.6122448979591837)","(0.7575757575757576, 0.7692307692307693)","(0.35561820378574305, 0.43752511048613907)","('[[43  8]\n [24 25]]', '[[42  9]\n [19 30]]')",0.49,Mandarin,Bachelors,"(25, 30)",Advanced,Government & Legal,Fiction
2025-08-05 03:42:05,"(0.65, 0.78)","(0.47761194029850745, 0.75)","(0.32, 0.66)","(0.9411764705882353, 0.868421052631579)","(0.30000000000000004, 0.56)","('[[49  1]\n [34 16]]', '[[45  5]\n [17 33]]')",0.5,Mandarin,High School,"(18, 25)",Beginner,Technology & Engineering,Social Media
2025-08-05 03:50:26,"(0.78, 0.81)","(0.78, 0.8118811881188119)","(0.78, 0.82)","(0.78, 0.803921568627451)","(0.56, 0.62)","('[[39 11]\n [11 39]]', '[[40 10]\n [ 9 41]]')",0.5,Arabic,Bachelors,"(25, 30)",Beginner,Skilled Trades & Vocational,Non Fiction
2025-08-05 03:58:56,"(0.67, 0.71)","(0.5925925925925926, 0.6741573033707865)","(0.48, 0.6)","(0.7741935483870968, 0.7692307692307693)","(0.33999999999999997, 0.42000000000000004)","('[[43  7]\n [26 24]]', '[[41  9]\n [20 30]]')",0.5,Arabic,Ph.D.,"(30, 40)",Intermediate,Education & Research,Businness News
2025-08-05 04:07:26,"(0.72, 0.82)","(0.6585365853658537, 0.8269230769230769)","(0.54, 0.86)","(0.84375, 0.7962962962962963)","(0.43999999999999995, 0.64)","('[[45  5]\n [23 27]]', '[[39 11]\n [ 7 43]]')",0.5,Russian,High School,"(18, 25)",Intermediate,Skilled Trades & Vocational,Businness News
2025-08-05 04:16:00,"(0.74, 0.78)","(0.7636363636363637, 0.7708333333333334)","(0.84, 0.74)","(0.7, 0.8043478260869565)","(0.48, 0.56)","('[[32 18]\n [ 8 42]]', '[[41  9]\n [13 37]]')",0.5,Turkish,High School,"(30, 40)",Advanced,Business & Office Work,Non Fiction
2025-08-05 04:24:40,"(0.67, 0.72)","(0.5714285714285714, 0.72)","(0.44, 0.72)","(0.8148148148148148, 0.72)","(0.33999999999999997, 0.43999999999999995)","('[[45  5]\n [28 22]]', '[[36 14]\n [14 36]]')",0.5,Mandarin,Bachelors,"(18, 25)",Advanced,Technology & Engineering,Social Media
2025-08-05 04:33:44,"(0.7, 0.81)","(0.6428571428571429, 0.8)","(0.54, 0.76)","(0.7941176470588235, 0.8444444444444444)","(0.4, 0.62)","('[[43  7]\n [23 27]]', '[[43  7]\n [12 38]]')",0.5,Spanish,Ph.D.,"(18, 25)",Beginner,Government & Legal,Businness News
2025-08-05 04:42:38,"(0.71, 0.78)","(0.6419753086419753, 0.7755102040816326)","(0.52, 0.76)","(0.8387096774193549, 0.7916666666666666)","(0.42000000000000004, 0.56)","('[[45  5]\n [24 26]]', '[[40 10]\n [12 38]]')",0.5,Italian,Masters,"(18, 25)",Intermediate,Creative & Communication,Social Media
2025-08-05 04:51:28,"(0.7, 0.75)","(0.6052631578947368, 0.7368421052631579)","(0.45098039215686275, 0.6862745098039216)","(0.92, 0.7954545454545454)","(0.40594059405940597, 0.5011971268954509)","('[[47  2]\n [28 23]]', '[[40  9]\n [16 35]]')",0.51,Turkish,High School,"(30, 40)",Beginner,Skilled Trades & Vocational,Social Media
2025-08-05 05:00:08,"(0.67, 0.72)","(0.5822784810126582, 0.72)","(0.46938775510204084, 0.7346938775510204)","(0.7666666666666667, 0.7058823529411765)","(0.33467741935483863, 0.44022391043582565)","('[[44  7]\n [26 23]]', '[[36 15]\n [13 36]]')",0.49,Turkish,Masters,"(25, 30)",Advanced,Technology & Engineering,Non Fiction
2025-08-05 05:09:03,"(0.7, 0.76)","(0.6153846153846154, 0.75)","(0.4897959183673469, 0.7346938775510204)","(0.8275862068965517, 0.7659574468085106)","(0.39491730536506653, 0.5194233079695634)","('[[46  5]\n [25 24]]', '[[40 11]\n [13 36]]')",0.49,Mandarin,Masters,"(18, 25)",Advanced,Education & Research,Businness News
2025-08-05 05:17:54,"(0.71, 0.76)","(0.7339449541284404, 0.7692307692307693)","(0.7843137254901961, 0.7843137254901961)","(0.6896551724137931, 0.7547169811320755)","(0.4181380417335474, 0.5194233079695634)","('[[31 18]\n [11 40]]', '[[36 13]\n [11 40]]')",0.51,Spanish,Masters,"(18, 25)",Beginner,Service & Hospitality,Non Fiction
2025-08-05 05:26:48,"(0.72, 0.81)","(0.6585365853658537, 0.8118811881188119)","(0.54, 0.82)","(0.84375, 0.803921568627451)","(0.43999999999999995, 0.62)","('[[45  5]\n [23 27]]', '[[40 10]\n [ 9 41]]')",0.5,Italian,High School,"(30, 40)",Beginner,Technology & Engineering,Fiction
2025-08-05 05:35:33,"(0.6, 0.73)","(0.3548387096774194, 0.7326732673267327)","(0.22448979591836735, 0.7551020408163265)","(0.8461538461538461, 0.7115384615384616)","(0.1879821356069834, 0.460431654676259)","('[[49  2]\n [38 11]]', '[[36 15]\n [12 37]]')",0.49,French,Ph.D.,"(18, 25)",Intermediate,Creative & Communication,Fiction
2025-08-05 05:44:25,"(0.74, 0.76)","(0.7045454545454546, 0.7818181818181819)","(0.62, 0.86)","(0.8157894736842105, 0.7166666666666667)","(0.48, 0.52)","('[[43  7]\n [19 31]]', '[[33 17]\n [ 7 43]]')",0.5,Arabic,High School,"(18, 25)",Advanced,Business & Office Work,Businness News
2025-08-05 05:52:42,"(0.57, 0.74)","(0.31746031746031744, 0.717391304347826)","(0.2, 0.66)","(0.7692307692307693, 0.7857142857142857)","(0.14, 0.48)","('[[47  3]\n [40 10]]', '[[41  9]\n [17 33]]')",0.5,Mandarin,High School,"(30, 40)",Advanced,Creative & Communication,Academic papers
2025-08-05 06:01:23,"(0.68, 0.77)","(0.4838709677419355, 0.7415730337078652)","(0.32608695652173914, 0.717391304347826)","(0.9375, 0.7674418604651163)","(0.32318104906937395, 0.5347896440129449)","('[[53  1]\n [31 15]]', '[[44 10]\n [13 33]]')",0.46,French,Bachelors,"(30, 40)",Advanced,Government & Legal,Academic papers
2025-08-05 06:09:40,"(0.68, 0.79)","(0.6, 0.7741935483870968)","(0.48, 0.72)","(0.8, 0.8372093023255814)","(0.36, 0.5800000000000001)","('[[44  6]\n [26 24]]', '[[43  7]\n [14 36]]')",0.5,Spanish,High School,"(30, 40)",Advanced,Government & Legal,Fiction
2025-08-05 06:17:59,"(0.64, 0.71)","(0.5, 0.7289719626168224)","(0.36, 0.78)","(0.8181818181818182, 0.6842105263157895)","(0.28, 0.42000000000000004)","('[[46  4]\n [32 18]]', '[[32 18]\n [11 39]]')",0.5,Spanish,Ph.D.,"(18, 25)",Intermediate,Government & Legal,Businness News
2025-08-05 06:26:14,"(0.66, 0.7)","(0.575, 0.6511627906976745)","(0.4791666666666667, 0.5833333333333334)","(0.71875, 0.7368421052631579)","(0.31006493506493504, 0.3941841680129241)","('[[43  9]\n [25 23]]', '[[42 10]\n [20 28]]')",0.48,Italian,Bachelors,"(18, 25)",Advanced,Creative & Communication,Academic papers
2025-08-05 06:34:43,"(0.78, 0.78)","(0.78, 0.7843137254901961)","(0.7959183673469388, 0.8163265306122449)","(0.7647058823529411, 0.7547169811320755)","(0.5601759296281488, 0.5605273671594087)","('[[39 12]\n [10 39]]', '[[38 13]\n [ 9 40]]')",0.49,Arabic,Ph.D.,"(30, 40)",Intermediate,Creative & Communication,Non Fiction
2025-08-05 06:43:01,"(0.72, 0.77)","(0.631578947368421, 0.7294117647058823)","(0.48, 0.62)","(0.9230769230769231, 0.8857142857142857)","(0.43999999999999995, 0.54)","('[[48  2]\n [26 24]]', '[[46  4]\n [19 31]]')",0.5,Italian,Bachelors,"(25, 30)",Beginner,Government & Legal,Academic papers
2025-08-05 06:51:30,"(0.73, 0.9)","(0.6666666666666666, 0.9074074074074074)","(0.54, 0.98)","(0.8709677419354839, 0.8448275862068966)","(0.45999999999999996, 0.8)","('[[46  4]\n [23 27]]', '[[41  9]\n [ 1 49]]')",0.5,Arabic,Masters,"(30, 40)",Intermediate,Service & Hospitality,Academic papers
2025-08-05 06:59:52,"(0.92, 0.82)","(0.9215686274509803, 0.8421052631578947)","(0.94, 0.96)","(0.9038461538461539, 0.75)","(0.84, 0.64)","('[[45  5]\n [ 3 47]]', '[[34 16]\n [ 2 48]]')",0.5,Mandarin,High School,"(30, 40)",Advanced,Business & Office Work,Businness News
2025-08-05 07:08:04,"(0.82, 0.81)","(0.8301886792452831, 0.819047619047619)","(0.88, 0.86)","(0.7857142857142857, 0.7818181818181819)","(0.64, 0.62)","('[[38 12]\n [ 6 44]]', '[[38 12]\n [ 7 43]]')",0.5,Turkish,Ph.D.,"(18, 25)",Beginner,Service & Hospitality,Social Media
2025-08-05 07:16:23,"(0.73, 0.75)","(0.6823529411764706, 0.6987951807228916)","(0.5918367346938775, 0.5918367346938775)","(0.8055555555555556, 0.8529411764705882)","(0.45695897023330645, 0.496779388083736)","('[[44  7]\n [20 29]]', '[[46  5]\n [20 29]]')",0.49,Italian,Bachelors,"(30, 40)",Advanced,Healthcare,Businness News
2025-08-05 07:24:42,"(0.7, 0.79)","(0.5833333333333334, 0.7920792079207921)","(0.42857142857142855, 0.8163265306122449)","(0.9130434782608695, 0.7692307692307693)","(0.393449251920744, 0.580335731414868)","('[[49  2]\n [28 21]]', '[[39 12]\n [ 9 40]]')",0.49,Italian,Masters,"(18, 25)",Advanced,Service & Hospitality,Businness News
